Kanji;Kana;Romaji;Translation;Part of Speech
印象;いんしょう;inshou;impression;Noun
引退;いんたい;intai;retire;Noun, Suru verb, Intransitive verb
引用;いんよう;in’you;quotation, citation;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no'
一般;いっぱん;ippan;general, universal;Noun which may take the genitive case particle 'no', Noun
一方;いっぽう;ippou;one way, the other way;Noun
以来;いらい;irai;since, henceforth;Noun, Adverb (fukushi)
依頼;いらい;irai;request, commission;Noun, Suru verb, Transitive verb
苛々;いらいら;iraira;getting nervous, irritation;Suru verb, Noun, Adverb (fukushi), Adverb taking the 'to' particle
衣類;いるい;irui;clothes, garments​;Noun
医療;いりょう;iryou;medical care;Noun
医師;いし;ishi;doctor, physician;Noun
意思;いし;ishi;intention, purpose;Noun
意志;いし;ishi;will, volition;Noun
意識;いしき;ishiki;consciousness;Noun, Suru verb
一生;いっしょう;isshou;whole life, a lifetime;Noun, Noun which may take the genitive case particle 'no', Adverb (fukushi)
一種;いっしゅ;isshu;species, kind;Noun
一瞬;いっしゅん;isshun;instant, moment;Noun, Adverb (fukushi)
一層;いっそう;issou;much more, still more;Adverb (fukushi)
板;いた;ita;board, plank;Noun
痛み;いたみ;itami;pain, ache, soreness;Noun
痛む;いたむ;itamu;to hurt;Godan verb with 'mu' ending, Intransitive verb
至る;いたる;itaru;to arrive at, to reach;Godan verb with 'ru' ending, Intransitive verb
悪戯;いたずら;itazura;mischief, prank;Noun, Suru verb, Transitive verb, Intransitive verb
従兄弟;いとこ;itoko;cousin;Noun
一体;いったい;ittai;what on earth…;Adverb (fukushi)
岩;いわ;iwa;rock;Noun
言わば;いわば;iwaba;so to speak;Adverb (fukushi)
祝う;いわう;iwau;to congratulate, to celebrate;Godan verb with 'u' ending, Transitive verb
嫌がる;いやがる;iyagaru;to hate, to dislike​;Godan verb with 'ru' ending, Transitive verb
以前;いぜん;izen;ago, since, before;Noun, used as a suffix
泉;いずみ;izumi;spring, fountain;Noun
自動;じどう;jidou;automatic;Noun which may take the genitive case particle 'no', Noun
自動販売機;じどうはんばいき;jidouhanbaiki;vending machine​;Noun
自動車;じどうしゃ;jidousha;automobile;Noun
事実;じじつ;jijitsu;fact, truth, reality;Adverb (fukushi), Noun
事情;じじょう;jijou;circumstances;Noun
直に;じかに;jika ni;directly, in person;Adverb (fukushi)
事件;じけん;jiken;event, affair, accident;Noun
時期;じき;jiki;time, season, period;Noun, Adverb (fukushi)
実家;じっか;jikka;(one’s parents’) home​;Noun
実験;じっけん;jikken;experiment;Noun, Suru verb, Transitive verb
実行;じっこう;jikkou;execution, practice;Noun, Suru verb, Transitive verb
時刻;じこく;jikoku;instant, time, moment;Noun
自慢;じまん;jiman;pride, boast;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no'
地面;じめん;jimen;ground, earth’s surface​;Noun
事務;じむ;jimu;business, office work;Noun
事務室;じむしつ;jimushitsu;office (room)​;Noun
人物;じんぶつ;jinbutsu;person, character, figure;Noun
人工;じんこう;jinkou;artificial, man-made;Noun, Noun which may take the genitive case particle 'no'
人類;じんるい;jinrui;mankind, humanity;Noun
生;なま;jinsei;life;Noun which may take the genitive case particle 'no', Noun
人種;じんしゅ;jinshu;race (of people), type of person;Noun
時差;じさ;jisa;time difference​;Noun
自殺;じさつ;jisatsu;suicide;Noun, Suru verb, Intransitive verb
自身;じしん;jishin;by oneself, personally;Noun, Noun, used as a suffix
自信;じしん;jishin;self-confidence;Noun
実際;じっさい;jissai;practical, reality;Noun, Noun which may take the genitive case particle 'no'
実施;じっし;jisshi;enforcement, implementation;Noun, Suru verb, Transitive verb
実習;じっしゅう;jisshuu;practice (in the field);Noun, Suru verb, Transitive verb
事態;じたい;jitai;situation;Noun
自宅;じたく;jitaku;one’s home, one’s house​;Noun
実現;じつげん;jitsugen;implementation;Noun, Suru verb, Transitive verb, Intransitive verb
実力;じつりょく;jitsuryoku;(real) ability, true strength;Noun
実は;じつは;jitsu wa;as a matter of fact;Expressions (phrases, clauses, etc.), Adverb (fukushi)
実用;じつよう;jitsuyou;practical use, utility​;Noun
徐々;じょじょ;jojo;gradually, steadily;'taru' adjective, Adverb taking the 'to' particle
女子;じょし;joshi;woman, girl;Noun
助手;じょしゅ;joshu;helper, assistant;Noun
女王;じょおう;joou;queen;Noun
丈夫;じょうぶ;joubu;healthy, robust, strong;Na-adjective (keiyodoshi)
冗談;じょうだん;joudan;jest, joke;Noun
上下;じょうげ;jouge;up and down​, top and bottom;Noun
上品;じょうひん;jouhin;elegant, polished​;Na-adjective (keiyodoshi)
情報;じょうほう;jouhou;information, news;Noun
条件;じょうけん;jouken;conditions, terms;Noun
上空;じょうくう;joukuu;sky, upper air;Noun
乗客;じょうきゃく;joukyaku;passenger;Noun
上京;じょうきょう;joukyou;proceeding to the capital (Tokyo);Noun, Suru verb, Intransitive verb
状況;じょうきょう;joukyou;state of affairs;Noun
常識;じょうしき;joushiki;common sense;Noun
状態;じょうたい;joutai;condition, situation;Noun
上達;じょうたつ;joutatsu;improvement, advance;Noun, Suru verb, Intransitive verb
上等;じょうとう;joutou;superiority, first-class;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun
女優;じょゆう;joyuu;actress;Noun
受験;じゅけん;juken;taking an examination;Noun, Suru verb, Transitive verb
順;じゅん;jun;order, turn;Noun, Noun, used as a suffix
順番;じゅんばん;junban;turn, order of things;Noun
順調;じゅんちょう;junchou;favorable, doing well;Na-adjective (keiyodoshi), Noun
銃;じゅう;juu;gun, rifle;Noun
重大;じゅうだい;juudai;serious, important;Na-adjective (keiyodoshi), Noun
柔道;じゅうどう;juudou;judo;Noun
住民;じゅうみん;juumin;citizens, inhabitants;Noun
重視;じゅうし;juushi;importance, stress;Noun, Suru verb, Transitive verb
渋滞;じゅうたい;juutai;congestion, stagnation;Noun, Suru verb, Intransitive verb
住宅;じゅうたく;juutaku;residence, housing;Noun
重要;じゅうよう;juuyou;important, essential;Na-adjective (keiyodoshi)
需要;じゅよう;juyou;demand, request;Noun
株;かぶ;kabu;stock, share;Noun, Counter
被る;かぶる;kaburu;to put on (one’s head);Godan verb with 'ru' ending, Transitive verb
勝ち;かち;kachi;win, victory;Noun
価値;かち;kachi;value, worth;Noun
替える;かえる;kaeru;to replace, to exchange;Ichidan verb, Transitive verb
会;かい;kai;meeting, assembly;Noun, Noun, used as a suffix
回;かい;kai;counter for occurrences;Counter
回復;かいふく;kaifuku;recovery;Noun, Suru verb, Transitive verb, Intransitive verb
絵画;かいが;kaiga;picture, painting;Noun
会合;かいごう;kaigou;meeting, assembly;Noun, Suru verb, Intransitive verb
海外;かいがい;kaigai;foreign, abroad;Noun, Noun which may take the genitive case particle 'no'
会員;かいいん;kaiin;member;Noun
会計;かいけい;kaikei;account, finance;Noun, Noun which may take the genitive case particle 'no', Suru verb
改札;かいさつ;kaisatsu;ticket gate, ticket barrier​;Noun, Suru verb, Intransitive verb
解決;かいけつ;kaiketsu;settlement, solution;Noun, Suru verb, Transitive verb, Intransitive verb
快晴;かいせい;kaisei;clear weather, cloudless weather;Noun, Noun which may take the genitive case particle 'no'
会社員;かいしゃいん;kaishain;company employee​;Noun
解釈;かいしゃく;kaishaku;explanation, interpretation;Noun, Suru verb, Transitive verb
開始;かいし;kaishi;start, beginning;Noun, Suru verb, Transitive verb, Intransitive verb
回収;かいしゅう;kaishuu;collection, retrieval;Noun, Suru verb, Transitive verb
回数;かいすう;kaisuu;number of times, frequency;Noun
快適;かいてき;kaiteki;pleasant, comfortable;Na-adjective (keiyodoshi), Noun
改善;かいぜん;kaizen;improvement;Noun, Suru verb, Transitive verb, Intransitive verb
化学;かがく;kagaku;chemistry;Noun
輝く;かがやく;kagayaku;to shine, to glitter;Godan verb with 'ku' ending, Intransitive verb
影;かげ;kage;shadow;Noun
加減;かげん;kagen;adjustment, degree, extent;Noun, Noun, used as a suffix
鍵;かぎ;kagi;key;Noun
限る;かぎる;kagiru;to restrict, to limit;Godan verb with 'ru' ending, Transitive verb
籠;かご;kago;basket, cage;Noun
家具;かぐ;kagu;furniture;Noun
家事;かじ;kaji;housework;Noun
抱える;かかえる;kakaeru;to hold in the arms;Ichidan verb, Transitive verb
価格;かかく;kakaku;price, value, cost;Noun
関わる;かかわる;kakawaru;to be concerned with, to have to do with;Godan verb with 'ru' ending, Intransitive verb
欠ける;かける;kakeru;to be lacking;Ichidan verb, Intransitive verb
書き直す;かきなおす;kakinaosu;to write out, to rewrite;Godan verb with 'su' ending, Transitive verb
活気;かっき;kakki;energy, liveliness;Noun
過去;かこ;kako;the past, bygone days;Noun, Adverb (fukushi), Noun which may take the genitive case particle 'no'
囲む;かこむ;kakomu;to surround, to encircle;Godan verb with 'mu' ending, Transitive verb
各地;かくち;kakuchi;every place, various places​;Noun
拡大;かくだい;kakudai;magnification;Noun, Suru verb, Transitive verb, Intransitive verb
覚悟;かくご;kakugo;resolution, readiness;Noun, Suru verb, Transitive verb
確実;かくじつ;kakujitsu;certainty, reliability;Na-adjective (keiyodoshi), Noun
確認;かくにん;kakunin;confirmation, verification;Noun, Suru verb, Transitive verb
隠れる;かくれる;kakureru;to hide, to be hidden;Ichidan verb, Intransitive verb
隠す;かくす;kakusu;to hide, to conceal;Godan verb with 'su' ending, Transitive verb
我慢;がまん;gaman;patience, endurance;Noun, Suru verb, Transitive verb, Intransitive verb
構う;かまう;kamau;to mind, to care about;Godan verb with 'u' ending
神;かみ;kami;God, deity;Noun
上;じょう;kami;person of high rank, government;Noun, Noun which may take the genitive case particle 'no'
雷;かみなり;kaminari;lightning, thunder;Noun
髪の毛;かみのけ;kami no ke;hair (head);Expressions (phrases, clauses, etc.), Noun
科目;かもく;kamoku;school subject;Noun
缶;かん;kan;can, tin;Noun, Counter
管;かん;kan;pipe, tube;Noun, Noun, used as a suffix
勘;かん;kan;perception, intuition;Noun
看板;かんばん;kanban;signboard, billboard;Noun
必ずしも;かならずしも;kanarazushimo;not always;Adverb (fukushi)
可也;かなり;kanari;considerably, fairly;Adverb (fukushi), Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi)
悲しむ;かなしむ;kanashimu;to be sad, to mourn for;Godan verb with 'mu' ending, Transitive verb
感動;かんどう;kandou;feeling deeply moved emotionally;Noun, Suru verb, Intransitive verb
考え;かんがえ;kangae;thinking, thought, view;Noun
歓迎;かんげい;kangei;welcome, reception;Noun, Suru verb, Transitive verb
感激;かんげき;kangeki;deep emotion, impression;Noun, Suru verb, Intransitive verb
患者;かんじゃ;kanja;patient;Noun
感じ;かんじ;kanji;feeling, sense;Noun
感じる;かんじる;kanjiru;to feel, to sense;Ichidan verb, Transitive verb, Intransitive verb
勘定;かんじょう;kanjou;calculation, counting;Noun, Suru verb, Transitive verb
感情;かんじょう;kanjou;emotion, feeling;Noun, Noun which may take the genitive case particle 'no'
感覚;かんかく;kankaku;sense, sensation, feeling;Noun, Suru verb, Transitive verb
間隔;かんかく;kankaku;space, interval​;Noun
観光;かんこう;kankou;sightseeing;Noun, Suru verb, Transitive verb
観光客;かんこうきゃく;kankoukyaku;tourist;Noun
観客;かんきゃく;kankyaku;audience, spectator;Noun
環境;かんきょう;kankyou;environment;Noun
可能;かのう;kanou;potential, possible;Na-adjective (keiyodoshi), Noun
管理人;かんりにん;kanrinin;administrator, manager;Noun
観察;かんさつ;kansatsu;observation;Noun, Suru verb, Transitive verb
感謝;かんしゃ;kansha;thanks, gratitude;Noun, Suru verb, Transitive verb, Intransitive verb
感想;かんそう;kansou;impressions, thoughts;Noun
乾燥;かんそう;kansou;drying (e.g. clothes), dryness;Noun, Suru verb, Transitive verb, Intransitive verb
香り;かおり;kaori;fragrance;Noun
空;から;kara;emptiness, vacuum, blank;Noun
彼ら;かれら;karera;they (usually male);Pronoun
枯れる;かれる;kareru;to wither (of a plant);Ichidan verb, Intransitive verb
刈る;かる;karu;to cut (hair), to mow (grass);Godan verb with 'ru' ending, Transitive verb
火災;かさい;kasai;conflagration, fire;Noun
重ねる;かさねる;kasaneru;to pile up, to heap up;Ichidan verb, Transitive verb
稼ぐ;かせぐ;kasegu;to earn income;Godan verb with 'gu' ending, Transitive verb
完成;かんせい;kansei;complete, completion;Noun, Suru verb, Transitive verb, Intransitive verb
貸出;かしだし;kashidashi;lending, loaning;Noun, Suru verb
賢い;かしこい;kashikoi;wise, clever, smart;I-adjective (keiyoushi)
感心;かんしん;kanshin;admiration;Noun, Suru verb, Intransitive verb
関心;かんしん;kanshin;concern, interest;Noun
関連;かんれん;kanren;relation, connection;Noun, Suru verb, Intransitive verb
管理;かんり;kanri;control, management;Noun, Suru verb, Transitive verb
完了;かんりょう;kanryou;completion, conclusion;Noun, Suru verb, Transitive verb, Intransitive verb
関する;かんする;kansuru;to concern, to be related;Suru verb - special class
監督;かんとく;kantoku;supervision;Noun, Suru verb, Transitive verb
歌手;かしゅ;kashu;singer;Noun
型;かた;kata;model, type;Noun, Noun, used as a suffix
肩;かた;kata;shoulder;Noun
方々;かたがた;katagata;they (people), you (plural);Noun
片方;かたほう;katahou;one of a pair, one side;Noun
固まる;かたまる;katamaru;to harden, to solidify​;Godan verb with 'ru' ending, Intransitive verb
刀;かたな;katana;sword, katana;Noun
語り合う;かたりあう;katariau;to talk together;Godan verb with 'u' ending, Transitive verb
語る;かたる;kataru;to talk about;Godan verb with 'ru' ending, Transitive verb
仮定;かてい;katei;assumption, hypothesis;Noun, Suru verb, Transitive verb
動;どう;katsudou;action, activity;Noun
活用;かつよう;katsuyou;practical use;Noun, Suru verb, Transitive verb
勝手;かって;katte;one’s own convenience, selfish;Noun, Na-adjective (keiyodoshi)
飼う;かう;kau;to keep (a pet);Godan verb with 'u' ending, Transitive verb
皮;かわ;kawa;skin, pelt;Noun
革;かわ;kawa;leather;Noun
可愛らしい;かわいらしい;kawairashii;lovely, sweet;I-adjective (keiyoushi)
可哀そう;かわいそう;kawaisou;poor, pitiable;Na-adjective (keiyodoshi), Noun
川沿い;かわぞい;kawazoi;along the river, riverside;Noun which may take the genitive case particle 'no'
完全;かんぜん;kanzen;perfection, completeness;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun
飾り;かざり;kazari;decoration;Noun, Noun, used as a suffix
数える;かぞえる;kazoeru;to count;Ichidan verb, Transitive verb
数;かず;kazu;number;Prefix
経営;けいえい;keiei;management;Noun, Suru verb, Transitive verb
敬意;けいい;keii;respect, honor;Noun
掲示;けいじ;keiji;notice, bulletin;Noun, Suru verb, Transitive verb
刑事;けいじ;keji;police detective, criminal matter;Noun
掲示板;けいじばん;keijiban;bulletin board, notice board;Noun
景気;けいき;keiki;business condition;Noun
警告;けいこく;keikoku;warning, advice;Noun, Suru verb, Transitive verb
傾向;けいこう;keikou;tendency, trend;Noun
計算;けいさん;keisan;calculation, reckoning;Noun, Suru verb, Transitive verb
契約;けいやく;keiyaku;contract, agreement;Noun, Suru verb, Transitive verb
経由;けいゆ;keiyu;through, via;Noun, Suru verb, Intransitive verb
結果;けっか;kekka;result, consequence;Noun
欠陥;けっかん;kekkan;defect, fault;Noun
結局;けっきょく;kekkyoku;after all, eventually;Adverb (fukushi)
煙;けむり;kemuri;smoke, fumes;Noun
券;けん;ken;ticket, coupon;Noun, Noun, used as a suffix
県;けん;ken;prefecture (of Japan);Noun, Noun, used as a suffix
建築;けんちく;kenchiku;construction, architecture;Noun, Suru verb, Transitive verb
見学;けんがく;kengaku;inspection, field trip;Noun, Suru verb
見解;けんかい;kenkai;opinion, point of view;Noun
健康;けんこう;kenkou;health;Noun
研究者;けんきゅうしゃ;kenkyuusha;researcher;Noun
研究所;けんきゅうじょ;kenkyuusho;research institute, laboratory​;Noun
憲法;けんぽう;kenpou;constitution;Noun
権利;けんり;kenri;right, privilege;Noun
検査;けんさ;kensa;inspection, examination;Noun, Suru verb, Transitive verb
建設;けんせつ;kensetsu;construction;Noun, Suru verb, Transitive verb
見当;けんとう;kentou;aim, mark, direction;Noun
検討;けんとう;kentou;consideration, examination;Noun, Suru verb, Transitive verb
欠席;けっせき;kesseki;absence;Noun, Suru verb, Intransitive verb
決心;けっしん;kesshin;determination, resolution;Noun, Suru verb, Transitive verb
化粧;けしょう;keshou;make-up, cosmetics;Noun, Suru verb, Transitive verb, Intransitive verb
決定;けってい;kettei;decision, determination;Noun, Suru verb, Transitive verb, Intransitive verb
欠点;けってん;ketten;weak point, weakness;Noun
血圧;けつあつ;ketsuatsu;blood pressure​;Noun
血液;けつえき;ketsueki;blood;Noun
血液型;けつえきがた;ketsuekigata;blood type;Noun
結論;けつろん;ketsuron;conclusion;Noun, Suru verb, Intransitive verb
気に入る;きにいる;ki ni iru;to be pleased with;Expressions (phrases, clauses, etc.), Godan verb with 'ru' ending
気の毒;きのどく;ki no doku;pitiful, unfortunate;Na-adjective (keiyodoshi), Noun
希望;きぼう;kibou;hope, wish;Noun, Suru verb, Transitive verb
希望者;きぼうしゃ;kibousha;applicant, candidate;Noun
貴重;きちょう;kichou;precious, valuable;Na-adjective (keiyodoshi), Noun
寄付;きふ;kifu;contribution, donation;Noun, Suru verb, Transitive verb
機嫌;きげん;kigen;humor, temper, mood;Noun
期限;きげん;kigen;time limit, deadline;Noun
企業;きぎょう;kigyou;enterprise, undertaking;Noun
基本;きほん;kihon;foundation, basis;Noun, Noun which may take the genitive case particle 'no'
生地;きじ;kiji;cloth, fabric;Noun
記事;きじ;kiji;article, news story;Noun
機械;きかい;kikai;machine, mechanism;Noun
期間;きかん;kikan;period, term;Noun
機関;きかん;kikan;engine, agency, organization;Noun
帰国;きこく;kikoku;return to one’s country​;Noun, Suru verb, Intransitive verb
気候;きこう;kikou;climate;Noun
効く;きく;kiku;to be effective;Godan verb with 'ku' ending, Intransitive verb
決まり;きまり;kimari;rule, settlement;Noun, Noun which may take the genitive case particle 'no'
気味;きみ;kimi;sensation, feeling;Noun
金;きん;kin;gold;Noun
緊張;きんちょう;kinchou;tension, nervousness;Noun, Suru verb, Intransitive verb
近代;きんだい;kindai;present day;Noun
禁煙;きんえん;kin’en;no smoking;Noun, Suru verb, Intransitive verb
記念品;きねんひん;kinenhin;souvenir, memento​;Noun
金額;きんがく;kingaku;amount of money;Noun
気になる;きになる;ki ni naru;to bother one, to worry about;Expressions (phrases, clauses, etc.), Godan verb with 'ru' ending
気にする;きにする;ki ni suru;to mind, to care about;Expressions (phrases, clauses, etc.), Suru verb - included
金庫;きんこ;kinko;safe, vault;Noun
筋肉;きんにく;kinniku;muscle;Noun
金銭;きんせん;kinsen;money, cash;Noun, Noun which may take the genitive case particle 'no'
禁止;きんし;kinshi;prohibition, ban;Noun, Suru verb, Transitive verb
金属;きんぞく;kinzoku;metal;Noun
奇妙;きみょう;kimyou;strange, queer;Na-adjective (keiyodoshi), Noun
記念;きねん;kinen;commemoration;Noun, Suru verb, Transitive verb
機能;きのう;kinou;function;Noun, Suru verb, Intransitive verb
記入;きにゅう;kinyuu;entry, filling in forms;Noun, Suru verb, Transitive verb
金融;きんゆう;kin’yuu;financing, money circulation;Noun
記憶;きおく;kioku;memory, recollection;Noun, Suru verb, Transitive verb
気温;きおん;kion;atmospheric temperature;Noun
霧;きり;kiri;fog, mist;Noun
切れ;きれ;kire;piece, slide;Noun
切れる;きれる;kireru;to break, to snap;Ichidan verb, Intransitive verb
記録;きろく;kiroku;record, document;Noun, Suru verb, Transitive verb
記者;きしゃ;kisha;reporter;Noun
岸;きし;kishi;bank, coast, shore;Noun
基礎;きそ;kiso;foundation, basis​;Noun, Noun which may take the genitive case particle 'no'
期待;きたい;kitai;expectation, hope;Noun, Suru verb, Transitive verb, Intransitive verb
帰宅;きたく;kitaku;returning home;Noun, Suru verb, Intransitive verb
際;さい;kiwa;edge, brink, verge;Noun
嫌う;きらう;kirau;to hate, to dislike;Godan verb with 'u' ending, Transitive verb
傷;きず;kizu;wound, injury, cut;Noun
器用;きよう;kiyou;dexterous, skillful;Na-adjective (keiyodoshi), Noun
気付く;きづく;kizuku;to notice, to realize;Godan verb with 'ku' ending, Intransitive verb
越える;こえる;koeru;to cross over;Ichidan verb, Transitive verb
恋;こい;koi;love;Noun
濃い;こい;koi;thick, dense, strong;I-adjective (keiyoushi)
恋人;こいびと;koibito;lover, sweetheart;Noun
恋しい;こいしい;koishii;yearned for, missed;I-adjective (keiyoushi)
個人;こじん;kojin;individual, personal;Noun
国家;こっか;kokka;state, country, nation;Noun
国会;こっかい;kokkai;National Diet, parliament;Noun
国境;こっきょう;kokkyou;national border;Noun
黒板;こくばん;kokuban;blackboard;Noun
国語;こくご;kokugo;national language;Noun
克服;こくふく;kokufuku;conquest, overcoming;Noun, Suru verb, Transitive verb
国民;こくみん;kokumin;national, citizen;Noun
穀物;こくもつ;kokumotsu;grain, cereal;Noun, Noun which may take the genitive case particle 'no'
故郷;ふるさと;kokyou;home town, birthplace;Noun
呼吸;こきゅう;kokyuu;breathing, respiration;Noun, Suru verb, Transitive verb, Intransitive verb
小麦;こむぎ;komugi;wheat;Noun
今後;こんご;kongo;from now on;Noun, Adverb (fukushi)
今回;こんかい;konkai;now, this time;Noun, Adverb (fukushi)
粉;こな;kona;flour, powder;Noun
困難;こんなん;konnan;difficulty, distress;Noun, Na-adjective (keiyodoshi)
今日;きょう;konnichi;this day, these days, recently;Noun, Adverb (fukushi)
好み;このみ;konomi;liking, taste;Noun, Noun which may take the genitive case particle 'no'
好む;このむ;konomu;to like, to prefer;Godan verb with 'mu' ending, Transitive verb
混乱;こんらん;konran;disorder, chaos;Noun, Suru verb, Intransitive verb
婚約;こんやく;kon’yaku;engagement, betrothal;Noun, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no'
混雑;こんざつ;konzatsu;congestion, jam;Noun, Suru verb, Intransitive verb
氷;こおり;koori;ice;Noun
凍る;こおる;kooru;to freeze;Godan verb with 'ru' ending, Intransitive verb
転ぶ;ころぶ;korobu;to fall down;Godan verb with 'bu' ending, Intransitive verb
殺す;ころす;korosu;to kill;Godan verb with 'su' ending, Transitive verb
腰;こし;koshi;lower back, waist;Noun
骨折;こっせつ;kossetsu;bone fracture;Noun, Suru verb, Transitive verb
異なる;ことなる;kotonaru;to differ, to vary;Godan verb with 'ru' ending, Intransitive verb
断る;ことわる;kotowaru;to refuse, to reject;Godan verb with 'ru' ending, Transitive verb
諺;ことわざ;kotowaza;proverb, maxim;Noun
好物;こうぶつ;koubutsu;favourite food​;Noun
行動;こうどう;koudou;action, conduct, behavior;Noun, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no'
講演;こうえん;kouen;lecture, address, speech;Noun, Suru verb, Transitive verb, Intransitive verb
幸福;こうふく;koufuku;happiness;Noun, Na-adjective (keiyodoshi)
攻撃;こうげき;kougeki;attack, strike;Noun, Suru verb, Transitive verb
公平;こうへい;kouhei;fairness, justice;Noun, Na-adjective (keiyodoshi)
候補;こうほ;kouho;candidate;Noun
後方;こうほう;kouhou;behind, in the rear;Noun, Noun which may take the genitive case particle 'no'
工事;こうじ;kouji;construction work​;Noun, Suru verb, Transitive verb, Intransitive verb
効果;こうか;kouka;effect, effectiveness;Noun, Noun which may take the genitive case particle 'no'
硬貨;こうか;kouka;coin;Noun
高価;こうか;kouka;high price;Na-adjective (keiyodoshi), Noun
交換;こうかん;koukan;exchange, interchange;Noun, Suru verb, Transitive verb
光景;こうけい;koukei;scene, spectacle;Noun
貢献;こうけん;kouken;contribution;Noun, Suru verb, Intransitive verb
広告;こうこく;koukoku;advertisement;Noun, Suru verb, Transitive verb
航空;こうくう;koukuu;aviation, flying;Noun
公共;こうきょう;koukyou;public, community;Noun which may take the genitive case particle 'no', Noun
購入;こうにゅう;kounyuu;purchase, buy;Noun, Suru verb, Transitive verb
考慮;こうりょ;kouryo;consideration;Noun, Suru verb, Transitive verb
交流;こうりゅう;kouryuu;(cultural) exchange, networking;Noun, Suru verb, Intransitive verb
交際;こうさい;kousai;association, friendship;Noun, Suru verb, Intransitive verb
構成;こうせい;kousei;organization, composition;Noun, Suru verb, Transitive verb
高速;こうそく;kousoku;high speed;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun
後者;こうしゃ;kousha;the latter;Noun
交通費;こうつうひ;koutsuuhi;traveling expenses;Noun
幸運;こううん;kouun;good luck, fortune;Noun, Na-adjective (keiyodoshi)
小屋;こや;koya;hut, cabin, shed;Noun
小包;こづつみ;kozutsumi;parcel, package;Noun
配る;くばる;kubaru;to distribute, to hand out;Godan verb with 'ru' ending, Transitive verb
区別;くべつ;kubetsu;distinction, differentiation;Noun, Suru verb, Transitive verb
工夫;くふう;kufuu;solving ingeniously​;Noun, Suru verb, Transitive verb
組;くみ;kumi;set, group;Noun, Noun, used as a suffix
組合;くみあい;kumiai;association, union;Noun
組み立てる;くみたてる;kumitateru;to assemble, to set up;Ichidan verb, Transitive verb
曇;くもり;kumori;cloudiness, cloudy weather;Noun
曇る;くもる;kumoru;to get cloudy;Godan verb with 'ru' ending, Intransitive verb
組む;くむ;kumu;to link, to put together;Godan verb with 'mu' ending
訓練;くんれん;kunren;practice, training;Noun, Suru verb, Transitive verb
位;くらい;kurai;rank, class, grade;Noun
暮らし;くらし;kurashi;life, living;Noun, Noun, used as a suffix
暮らす;くらす;kurasu;to live;Godan verb with 'su' ending, Intransitive verb
暮れ;くれ;kure;sunset, sundown;Noun, Adverb (fukushi), Noun which may take the genitive case particle 'no', Noun, used as a suffix
繰り返す;くりかえす;kurikaesu;to repeat;Godan verb with 'su' ending, Transitive verb, Intransitive verb
苦労;くろう;kurou;troubles, hardships;Noun, Suru verb
苦しい;くるしい;kurushii;painful, difficult;I-adjective (keiyoushi)
苦しむ;くるしむ;kurushimu;to suffer;Godan verb with 'mu' ending, Intransitive verb
狂う;くるう;kuruu;to go mad;Godan verb with 'u' ending, Intransitive verb
臭い;くさい;kusai;stinking, smelly;I-adjective (keiyoushi)
鎖;くさり;kusari;chain;Noun
腐る;くさる;kusaru;to rot, to go bad;Godan verb with 'ru' ending, Intransitive verb
癖;くせ;kuse;habit;Noun
苦痛;くつう;kutsuu;pain, agony;Noun
加える;くわえる;kuwaeru;to add, to sum up;Ichidan verb, Transitive verb
詳しい;くわしい;kuwashii;detailed;I-adjective (keiyoushi)
加わる;くわわる;kuwawaru;to be added to;Godan verb with 'ru' ending, Intransitive verb
句;く;ku;sentence, passage;Noun, Noun, used as a suffix
食う;くう;kuu;to eat;Godan verb with 'u' ending, Transitive verb
悔しい;くやしい;kuyashii;annoying, frustrating;I-adjective (keiyoushi)
巨大;きょだい;kyodai;huge, gigantic;Na-adjective (keiyodoshi), Noun
許可;きょか;kyoka;permission, approval;Noun, Suru verb, Transitive verb
局;きょく;kyoku;bureau, department;Noun, Noun, used as a suffix
距離;きょり;kyori;distance, range​;Noun
強調;きょうちょう;kyouchou;emphasis, highlight;Noun, Suru verb, Transitive verb
共同;きょうどう;kyoudou;doing together, joint;Noun, Noun, used as a prefix, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no'
恐怖;きょうふ;kyoufu;fear, dread, dismay;Noun, Suru verb, Transitive verb, Intransitive verb
競技;きょうぎ;kyougi;game, match;Noun, Suru verb, Intransitive verb
競合;きょうごう;kyougou;competition, rivalry;Noun, Suru verb, Intransitive verb
教授;きょうじゅ;kyouju;professor;Noun
教科書;きょうかしょ;kyoukasho;textbook;Noun
供給;きょうきゅう;kyoukyuu;supply, provision;Noun, Suru verb, Transitive verb
協力;きょうりょく;kyouryoku;cooperation;Noun, Suru verb, Intransitive verb
強力;きょうりょく;kyouryoku;powerful, strong;Na-adjective (keiyodoshi), Noun
教師;きょうし;kyoushi;teacher (classroom);Noun
共通;きょうつう;kyoutsuu;commonness, community;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun
